technique,case_id,state,runtime_avg,runtime_cnf
marking-9,ZC,{'edge0'},0.0, 0.0
marking-3,ZCA,{'edge10'},0.0, 0.0
marking-5,ZCA,{'edge10'},0.0, 0.0
marking-7,ZCA,{'edge10'},0.0, 0.0
marking-9,ZCA,{'edge10'},0.0, 0.0
marking-3,ZD,{'edge6'},0.0, 0.0
marking-5,ZD,{'edge6'},0.0, 0.0
marking-7,ZD,{'edge6'},0.0, 0.0
marking-9,ZD,{'edge6'},0.00033275286356608075, 0.001431720016736805
marking-3,ZDA,{'edge7'},0.0, 0.0
marking-5,ZDA,{'edge7'},0.0, 0.0
marking-7,ZDA,{'edge7'},0.0, 0.0
marking-9,ZDA,{'edge7'},0.0003288586934407552, 0.0014149647550171722
marking-3,ZE,{'edge41'},0.0, 0.0
marking-5,ZE,{'edge41'},0.0, 0.0
marking-7,ZE,{'edge41'},0.0, 0.0
marking-9,ZE,{'edge41'},0.0, 0.0
marking-3,ZEA,{'edge10'},0.0, 0.0
marking-5,ZEA,{'edge10'},0.0, 0.0
marking-7,ZEA,{'edge10'},0.0, 0.0
marking-9,ZEA,{'edge10'},0.0, 0.0
marking-3,ZF,{'edge7'},0.0, 0.0
marking-5,ZF,{'edge7'},0.0, 0.0
marking-7,ZF,{'edge7'},0.0, 0.0
marking-9,ZF,{'edge7'},0.0, 0.0
marking-3,ZFA,{'edge40'},0.0, 0.0
marking-5,ZFA,{'edge40'},0.0, 0.0
marking-7,ZFA,{'edge40'},0.0, 0.0
marking-9,ZFA,{'edge40'},0.0, 0.0
marking-3,ZG,{'edge7'},0.0, 0.0
marking-5,ZG,{'edge7'},0.0, 0.0
marking-7,ZG,{'edge7'},0.0, 0.0
marking-9,ZG,{'edge7'},0.0, 0.0
marking-3,ZGA,{'edge6'},0.0, 0.0
marking-5,ZGA,{'edge6'},0.0, 0.0
marking-7,ZGA,{'edge6'},0.0, 0.0
marking-9,ZGA,{'edge6'},0.0, 0.0
marking-3,ZH,{'edge2'},0.0, 0.0
marking-5,ZH,{'edge2'},0.0, 0.0
marking-7,ZH,{'edge2'},0.0, 0.0
marking-9,ZH,{'edge2'},0.0, 0.0
marking-3,ZHA,{'edge6'},0.0, 0.0
marking-5,ZHA,{'edge6'},0.0, 0.0
marking-7,ZHA,{'edge6'},0.0, 0.0
marking-9,ZHA,{'edge6'},0.0, 0.0
marking-3,ZI,{'edge41'},0.0, 0.0
marking-5,ZI,{'edge41'},0.0, 0.0
marking-7,ZI,{'edge41'},0.0, 0.0
marking-9,ZI,{'edge41'},0.0, 0.0
marking-3,ZIA,{'edge6'},0.0, 0.0
marking-5,ZIA,{'edge6'},0.0, 0.0
marking-7,ZIA,{'edge6'},0.0, 0.0
